run_name,budget,seeds,accuracy,accuracy_std,macro_f1,macro_f1_std,mean_confidence,accuracy_ci95
neural_baseline_lambda_s_0,0,5,0.0355,0.0,0.0024487825067255296,0.0,0.04584981054067612,0.0
neural_baseline_lambda_s_0,1,5,0.0655,0.0026692695630078306,0.00959541458601696,0.00043342823126971526,0.08593464642763138,0.0033143359178879174
neural_baseline_lambda_s_0,2,5,0.1206,0.004098780306383838,0.045388246139500876,0.010319334943404973,0.15270650684833526,0.005089307942983405
neural_baseline_lambda_s_0,3,5,0.1937,0.006389444420291959,0.10449492713997613,0.00803429186811456,0.22739132940769197,0.007933543105200447
neural_baseline_lambda_s_0,4,5,0.2783,0.013764083696345342,0.19940535681119032,0.007974475633337455,0.3091096580028534,0.0170903671940154
neural_baseline_lambda_s_0,5,5,0.3274,0.027877858597819157,0.25813606895681335,0.025914480980457247,0.3548653483390808,0.034614933367927314
neural_baseline_lambda_s_0,6,5,0.369,0.01726267650163207,0.3135329728304296,0.01687138513074019,0.3969815790653229,0.021434443924714643
neural_baseline_lambda_s_0,7,5,0.39370000000000005,0.009155599379614653,0.34984433389745195,0.010704001294808963,0.4188098430633545,0.011368178131644232
neural_baseline_lambda_s_0,8,5,0.4141,0.01968311459093808,0.3720761247763807,0.023433757335241234,0.44071404337882997,0.024439814760087025
neural_baseline_lambda_s_0,9,5,0.42869999999999997,0.019945550882339673,0.3903989728013636,0.02589612362160381,0.4488286733627319,0.024765672454942492
neural_baseline_lambda_s_0,10,5,0.4372,0.016675580949400255,0.4018206558101981,0.01933162563426692,0.4575264811515808,0.02070546851400284
neural_baseline_lambda_s_0,11,5,0.4468,0.01357663433992389,0.4142570073529989,0.015450166305876476,0.4617647290229797,0.01685761807666042
neural_baseline_lambda_s_0,12,5,0.4537,0.011289375536317323,0.42026151280327645,0.013390341425555416,0.46402567625045776,0.014017611165647531
neural_baseline_lambda_s_0,13,5,0.4753,0.007694153624668538,0.4473040898769291,0.00675961436195546,0.47791080474853515,0.00955355355239992
neural_baseline_lambda_s_0,14,5,0.48549999999999993,0.009918417212438692,0.4615096545283309,0.01466502449870567,0.4844999730587006,0.012315341571849658
neural_baseline_lambda_s_0,15,5,0.49659999999999993,0.01602107986372954,0.48104141468263756,0.024707912404593368,0.4918715596199036,0.01989279807914024
neural_baseline_lambda_s_0,16,5,0.4986,0.02001999000998751,0.4820439963303106,0.030398048879803033,0.4945250451564789,0.024858100839800504
neural_baseline_lambda_s_0,17,5,0.5067999999999999,0.02179621526779365,0.49475142542362105,0.0323845091701908,0.49964122772216796,0.02706357579511859
neural_baseline_lambda_s_0,18,5,0.5128,0.020008123350279527,0.5020322515065676,0.028945600754556527,0.5082501709461212,0.024843366435662168
neural_baseline_lambda_s_0,19,5,0.5212,0.02546958971008367,0.5158437688590785,0.03240453844128517,0.5123610198497772,0.03162467259203194
neural_baseline_lambda_s_0,20,5,0.5379,0.01233085560697236,0.5335891498010933,0.019060132181094994,0.5190499365329743,0.015310779474226602
