run_name,confidence_threshold,seeds,coverage,coverage_std,mean_questions_when_reached,accuracy_when_reached
neural_baseline_lambda_s_0,0.5,5,0.5913,0.013493516961859868,7.828171869801471,0.6705057255845708
neural_baseline_lambda_s_0,0.6,5,0.4891,0.04371269838387925,7.863224027109209,0.7429472413994598
neural_baseline_lambda_s_0,0.7,5,0.38130000000000003,0.05195141961486711,8.596207076222619,0.7857406991072696
neural_baseline_lambda_s_0,0.8,5,0.2565,0.058868497517772615,9.074429168994806,0.8424813557009646
neural_baseline_lambda_s_0,0.9,5,0.1281,0.012330855606972302,7.2596275017383505,0.8868341937739534
neural_claq_lambda_s_0_4,0.5,5,0.5307999999999999,0.03287210063260333,6.754664721550334,0.6284065218777191
neural_claq_lambda_s_0_4,0.6,5,0.3969,0.0693130579328311,7.6883991330094,0.7345471652123703
neural_claq_lambda_s_0_4,0.7,5,0.2812,0.06882641208140956,8.263374819825675,0.7897868521418452
neural_claq_lambda_s_0_4,0.8,5,0.1779,0.03986289001063519,8.536450384535641,0.8456470543600663
neural_claq_lambda_s_0_4,0.9,5,0.0888,0.035515137617641294,6.57610418845546,0.9156812229090372
