run_name,budget,query_concept,count,count_std
neural_baseline_lambda_s_0,2,financial_or_accounting_work,0.0,0.0
neural_baseline_lambda_s_0,2,fitness_instruction,0.0,0.0
neural_baseline_lambda_s_0,2,gendered_organization_or_award,0.0,0.0
neural_baseline_lambda_s_0,2,health_or_wellness_work,0.0,0.0
neural_baseline_lambda_s_0,2,interior_or_decorative_design,0.0,0.0
neural_baseline_lambda_s_0,2,legal_practice,0.0,0.0
neural_baseline_lambda_s_0,2,legal_support_work,0.0,0.0
neural_baseline_lambda_s_0,2,literary_writing,0.0,0.0
neural_baseline_lambda_s_0,2,live_music_or_recording,0.0,0.0
neural_baseline_lambda_s_0,2,male_gendered_titles,0.0,0.0
neural_baseline_lambda_s_0,2,management_or_leadership,0.0,0.0
neural_baseline_lambda_s_0,2,manual_body_treatment,0.0,0.0
neural_baseline_lambda_s_0,2,media_interviews_or_features,0.0,0.0
neural_baseline_lambda_s_0,2,media_or_publishing_work,0.0,0.0
neural_baseline_lambda_s_0,2,medical_training,0.0,0.0
neural_baseline_lambda_s_0,2,mind_body_practice,0.0,0.0
neural_baseline_lambda_s_0,2,music_composition,0.0,0.0
neural_baseline_lambda_s_0,2,nutrition_or_diet_guidance,0.0,0.0
neural_baseline_lambda_s_0,2,online_public_presence,0.0,0.0
neural_baseline_lambda_s_0,2,organizational_role_or_administration,0.0,0.0
neural_baseline_lambda_s_0,2,parent_role_mentions,0.0,0.0
neural_baseline_lambda_s_0,2,public_presence_or_recognition,0.0,0.0
neural_baseline_lambda_s_0,2,public_speaking_or_events,0.0,0.0
neural_baseline_lambda_s_0,2,religious_ministry,0.0,0.0
neural_baseline_lambda_s_0,2,reporting_or_news_work,0.0,0.0
neural_baseline_lambda_s_0,2,research_publications,0.0,0.0
neural_baseline_lambda_s_0,2,scientific_or_lab_research,0.0,0.0
neural_baseline_lambda_s_0,2,software_development,0.0,0.0
neural_baseline_lambda_s_0,2,spouse_or_partner_mentions,0.0,0.0
neural_baseline_lambda_s_0,2,surgical_work,0.0,0.0
neural_baseline_lambda_s_0,2,teaching_or_instruction,0.0,0.0
neural_baseline_lambda_s_0,2,technical_infrastructure,0.0,0.0
neural_baseline_lambda_s_0,2,technical_or_engineering_work,0.0,0.0
neural_baseline_lambda_s_0,2,therapy_or_counseling,0.0,0.0
neural_baseline_lambda_s_0,2,university_affiliation,0.0,0.0
neural_baseline_lambda_s_0,2,visual_art_practice,0.0,0.0
neural_baseline_lambda_s_0,3,health_or_wellness_work,559.8,771.0273665700848
neural_baseline_lambda_s_0,3,visual_art_practice,284.8,308.78584812131527
neural_baseline_lambda_s_0,3,legal_or_regulatory_work,247.6,342.9472262608345
neural_baseline_lambda_s_0,3,female_pronouns,247.4,342.7299228255391
neural_baseline_lambda_s_0,3,clinical_care,240.8,329.72897961811
neural_baseline_lambda_s_0,3,creative_or_artistic_work,170.4,381.0259833659641
neural_baseline_lambda_s_0,3,design_work,141.2,315.7327984229703
neural_baseline_lambda_s_0,3,film_or_video_production,96.6,216.0041666264797
neural_baseline_lambda_s_0,3,male_pronouns,11.4,25.4911749434976
neural_baseline_lambda_s_0,3,advanced_degree_or_training,0.0,0.0
neural_baseline_lambda_s_0,3,appearance_or_body_presentation,0.0,0.0
neural_baseline_lambda_s_0,3,building_or_spatial_design,0.0,0.0
neural_baseline_lambda_s_0,3,business_or_client_service,0.0,0.0
neural_baseline_lambda_s_0,3,business_or_management_education,0.0,0.0
neural_baseline_lambda_s_0,3,camera_or_photography_work,0.0,0.0
neural_baseline_lambda_s_0,3,celebrity_or_public_attention,0.0,0.0
neural_baseline_lambda_s_0,3,child_or_family_care_mentions,0.0,0.0
neural_baseline_lambda_s_0,3,classroom_instruction,0.0,0.0
neural_baseline_lambda_s_0,3,comedy_or_stage_performance,0.0,0.0
neural_baseline_lambda_s_0,3,dental_or_oral_health,0.0,0.0
neural_baseline_lambda_s_0,3,education_or_academic_work,0.0,0.0
neural_baseline_lambda_s_0,3,fashion_or_modeling_work,0.0,0.0
neural_baseline_lambda_s_0,3,female_gendered_titles,0.0,0.0
neural_baseline_lambda_s_0,3,financial_or_accounting_work,0.0,0.0
neural_baseline_lambda_s_0,3,fitness_instruction,0.0,0.0
neural_baseline_lambda_s_0,3,gendered_organization_or_award,0.0,0.0
neural_baseline_lambda_s_0,3,interior_or_decorative_design,0.0,0.0
neural_baseline_lambda_s_0,3,legal_practice,0.0,0.0
neural_baseline_lambda_s_0,3,legal_support_work,0.0,0.0
neural_baseline_lambda_s_0,3,literary_writing,0.0,0.0
neural_baseline_lambda_s_0,3,live_music_or_recording,0.0,0.0
neural_baseline_lambda_s_0,3,male_gendered_titles,0.0,0.0
neural_baseline_lambda_s_0,3,management_or_leadership,0.0,0.0
neural_baseline_lambda_s_0,3,manual_body_treatment,0.0,0.0
neural_baseline_lambda_s_0,3,media_interviews_or_features,0.0,0.0
neural_baseline_lambda_s_0,3,media_or_publishing_work,0.0,0.0
neural_baseline_lambda_s_0,3,medical_training,0.0,0.0
neural_baseline_lambda_s_0,3,mind_body_practice,0.0,0.0
neural_baseline_lambda_s_0,3,music_composition,0.0,0.0
neural_baseline_lambda_s_0,3,nursing_care,0.0,0.0
neural_baseline_lambda_s_0,3,nutrition_or_diet_guidance,0.0,0.0
neural_baseline_lambda_s_0,3,online_public_presence,0.0,0.0
neural_baseline_lambda_s_0,3,organizational_role_or_administration,0.0,0.0
neural_baseline_lambda_s_0,3,parent_role_mentions,0.0,0.0
neural_baseline_lambda_s_0,3,public_presence_or_recognition,0.0,0.0
neural_baseline_lambda_s_0,3,public_speaking_or_events,0.0,0.0
neural_baseline_lambda_s_0,3,religious_ministry,0.0,0.0
neural_baseline_lambda_s_0,3,reporting_or_news_work,0.0,0.0
neural_baseline_lambda_s_0,3,research_publications,0.0,0.0
neural_baseline_lambda_s_0,3,scientific_or_lab_research,0.0,0.0
neural_baseline_lambda_s_0,3,software_development,0.0,0.0
neural_baseline_lambda_s_0,3,spouse_or_partner_mentions,0.0,0.0
neural_baseline_lambda_s_0,3,surgical_work,0.0,0.0
neural_baseline_lambda_s_0,3,teaching_or_instruction,0.0,0.0
neural_baseline_lambda_s_0,3,technical_infrastructure,0.0,0.0
neural_baseline_lambda_s_0,3,technical_or_engineering_work,0.0,0.0
neural_baseline_lambda_s_0,3,therapy_or_counseling,0.0,0.0
neural_baseline_lambda_s_0,3,university_affiliation,0.0,0.0
neural_baseline_lambda_s_0,4,visual_art_practice,317.0,309.72407074685043
neural_baseline_lambda_s_0,4,clinical_care,303.6,313.8412018840101
neural_baseline_lambda_s_0,4,male_pronouns,279.6,625.2046065089412
neural_baseline_lambda_s_0,4,dental_or_oral_health,209.0,171.52988077883106
neural_baseline_lambda_s_0,4,design_work,178.0,243.96721091163047
neural_baseline_lambda_s_0,4,technical_or_engineering_work,162.8,222.9230809046026
neural_baseline_lambda_s_0,4,nursing_care,142.4,197.2379273872041
neural_baseline_lambda_s_0,4,legal_or_regulatory_work,134.2,187.1982905904859
neural_baseline_lambda_s_0,4,creative_or_artistic_work,115.8,87.7564812421282
