run_name,seed,sensitive_queries,sensitive_query_rate
neural_baseline_lambda_s_0,0,4232,0.1058
neural_baseline_lambda_s_0,1,4449,0.111225
neural_baseline_lambda_s_0,2,4230,0.10575
neural_baseline_lambda_s_0,3,4000,0.1
neural_baseline_lambda_s_0,4,4249,0.106225
neural_claq_lambda_s_0_4,0,2661,0.066525
neural_claq_lambda_s_0_4,1,635,0.015875
neural_claq_lambda_s_0_4,2,553,0.013825
neural_claq_lambda_s_0_4,3,1532,0.0383
neural_claq_lambda_s_0_4,4,518,0.01295
