epoch,lambda_s,lambda_c,lambda_q,train_acc,train_loss,train_task,train_sens,train_sens_acc,train_cost,train_exp_cost,train_set,train_designated_queries,train_sens_q_rate,train_q_entropy,train_actor_grad_norm,actor_eps,sensitive_target_mode,test_acc,test_loss,test_task,test_sens,test_sens_acc,test_cost,test_exp_cost,test_set,test_designated_queries,test_sens_q_rate,test_q_entropy,run_name,seed
1,0.0,0.03,0.0,0.2992222222222222,3.36489952272839,2.700690892007616,0.18892419793539578,0.927712673942248,0.47528443733851117,15.842814842859903,0.0,1.1976996527777777,0.07984664767152733,1.0499788913875818e-05,1.092008958761451,1.0,hard,0.335,2.983047068119049,2.407282054424286,0.10044825449585915,0.9748787730932236,0.4753168299794197,15.843894958496094,0.0,1.0,0.06666667014360428,1.0499788913875818e-05,cost,1
2,0.0,0.03,0.0,0.3758888888888889,2.9040849672423468,2.333664079507192,0.0949392849062052,0.9759114583333334,0.475481600397163,15.849386983447605,0.0,1.0,0.06666667014360428,1.0499788913875818e-05,1.2239671099458873,1.0,hard,0.371,2.8355769515037537,2.270299255847931,0.08936367370188236,0.9788860380649567,0.47591399401426315,15.863800048828125,0.0,1.0,0.06666667014360428,1.0499788913875818e-05,cost,1
3,0.0,0.03,0.0,0.39711111111111114,2.8211252755588956,2.2545474304093256,0.09112157341506746,0.9752170145511627,0.47545626759529114,15.848542557822334,0.0,1.0486328138245478,0.06990885817342335,1.0499788913875818e-05,1.2705377115699876,1.0,hard,0.401,2.8175395727157593,2.2470900416374207,0.09509699046611786,0.9779094755649567,0.47535257041454315,15.845086336135864,0.0,1.0362675189971924,0.06908450461924076,1.0499788913875818e-05,cost,1
4,0.0,0.03,0.0,0.4021111111111111,2.8132747411727905,2.2448565628793506,0.0935422538055314,0.9757161455021964,0.47487592448790866,15.829197936587864,0.0,1.1580946180555556,0.07720631195439233,1.0499788913875818e-05,1.276540438751302,1.0,hard,0.397,2.7754077315330505,2.212180018424988,0.08792402036488056,0.9788860380649567,0.4753037691116333,15.843459129333496,0.0,1.0209119021892548,0.06806079857051373,1.0499788913875818e-05,cost,1
5,0.0,0.03,0.0,0.39644444444444443,2.7843837605582342,2.222785231139925,0.08715483287556304,0.9774305555555556,0.4744437105125851,15.814790752198961,0.0,1.3121527764532301,0.08747685576478641,1.0499788913875818e-05,0.9710661685239756,1.0,hard,0.402,2.7858253717422485,2.223590612411499,0.08918205462396145,0.9720501005649567,0.4730527400970459,15.768424987792969,0.0,1.9360857009887695,0.1290723867714405,1.0499788913875818e-05,cost,1
6,0.0,0.03,0.0,0.3997777777777778,2.7873476213879056,2.226494186454349,0.0876119095676889,0.9753689236111112,0.4732415485713217,15.774718708462185,0.0,1.7115234368377261,0.11410156906478935,1.0499788913875818e-05,1.0017661666481419,1.0,hard,0.387,2.8134440779685974,2.2493154406547546,0.09127724729478359,0.9720501005649567,0.4728514105081558,15.761713981628418,0.0,1.9449757635593414,0.1296650543808937,1.0499788913875818e-05,cost,1
7,0.0,0.03,0.0,0.3982222222222222,2.7855058047506542,2.221982995669047,0.0904177123059829,0.9750000006622739,0.4731051069166925,15.77017060915629,0.0,1.6490885416666667,0.10993924302359422,1.0499788913875818e-05,0.9296391339788291,1.0,hard,0.4,2.780381441116333,2.2148870825767517,0.09291605278849602,0.9788860380649567,0.4725783169269562,15.752610921859741,0.0,1.981142282485962,0.13207615911960602,1.0499788913875818e-05,cost,1
8,0.0,0.03,0.0,0.40166666666666667,2.76998468902376,2.2114131450653076,0.085875756210751,0.9767361117733849,0.4726957695351707,15.756526019838121,0.0,1.9331163234180875,0.12887442919115225,1.0499788913875818e-05,1.030430126176927,1.0,hard,0.388,2.771578073501587,2.2069762349128723,0.09209936484694481,0.9720501005649567,0.4725024625658989,15.75008249282837,0.0,1.9919854402542114,0.13279903307557106,1.0499788913875818e-05,cost,1
9,0.0,0.03,0.0,0.399,2.7669677800602384,2.208883583545685,0.08547230959973401,0.9763454861111112,0.47261188013686073,15.7537296877967,0.0,2.0433593723509045,0.13622396439313889,1.0499788913875818e-05,0.9027476557061568,1.0,hard,0.401,2.7641413807868958,2.200395166873932,0.09110395796597004,0.9778084605932236,0.472642257809639,15.75474214553833,0.0,1.9900323152542114,0.13266882300376892,1.0499788913875818e-05,cost,1
10,0.0,0.03,0.0,0.4028888888888889,2.770614445209503,2.206706086794535,0.09133660803652471,0.9749131947755814,0.47257175544897717,15.752392239040798,0.0,1.974348955684238,0.13162326936920485,1.0499788913875818e-05,0.9177823402618136,1.0,hard,0.378,2.763862729072571,2.2036492228507996,0.08768560364842415,0.9788860380649567,0.4725279361009598,15.75093150138855,0.0,1.8944638967514038,0.12629760056734085,1.0499788913875818e-05,cost,1
