run_name,seed,epoch,lambda_s,actor_eps,train_accuracy,train_loss,train_task_loss,train_sensitive_loss,train_sensitive_query_rate,train_query_entropy,validation_accuracy,validation_loss,validation_task_loss,validation_sensitive_loss,validation_sensitive_query_rate,validation_query_entropy
neural_baseline_lambda_s_0,0,1,0.0,1.0,0.1159,3.305277580022812,3.028023308515549,0.2772542543709278,0.5625,1.0499788913875818e-05,0.161,3.1645397543907166,2.733422577381134,0.4311171919107437,0.02872440731152892,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,2,0.0,1.0,0.1747,3.0425329744815826,2.7183925330638887,0.3241404537111521,0.21181640625,1.0499788913875818e-05,0.191,3.042149603366852,2.677338182926178,0.36481136828660965,0.03508890047669411,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,3,0.0,1.0,0.1933,2.9828316986560823,2.683913141489029,0.29891855400055645,0.1916015625,1.0499788913875818e-05,0.194,2.9620137214660645,2.6097320318222046,0.3522816672921181,0.04094827547669411,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,4,0.0,1.0,0.1986,2.9404713034629824,2.642289900779724,0.29818138424307106,0.176953125,1.0499788913875818e-05,0.179,3.0304235219955444,2.706302046775818,0.32412148267030716,0.03370824363082647,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,5,0.0,1.0,0.1977,2.9356759250164033,2.6365825057029726,0.2990934049710631,0.1822265625,1.0499788913875818e-05,0.202,2.9198509454727173,2.5952565670013428,0.3245943486690521,0.062264278531074524,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,6,0.0,1.0,0.207,2.912316161394119,2.6092343747615816,0.3030817948281765,0.1888671875,1.0499788913875818e-05,0.192,2.952864646911621,2.6083396673202515,0.34452497959136963,0.07475754246115685,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,7,0.0,1.0,0.2063,2.895491921901703,2.596899312734604,0.29859259985387326,0.1947265625,1.0499788913875818e-05,0.205,2.923116624355316,2.5712863206863403,0.3518303260207176,0.039399245753884315,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,8,0.0,1.0,0.2111,2.9111973106861115,2.6064401626586915,0.30475714104250073,0.19033203125,1.0499788913875818e-05,0.207,2.902005136013031,2.6067832112312317,0.29522188007831573,0.15274784341454506,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,9,0.0,1.0,0.2081,2.889986288547516,2.590300405025482,0.29968588761985304,0.19404296875,1.0499788913875818e-05,0.197,2.9234975576400757,2.5802252888679504,0.34327229112386703,0.03899515047669411,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,10,0.0,1.0,0.2038,2.8639397501945494,2.5736382782459257,0.29030146822333336,0.18935546875,1.0499788913875818e-05,0.204,2.893732249736786,2.581769049167633,0.31196317821741104,0.1444639004766941,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,11,0.0,1.0,0.2138,2.841673231124878,2.5622819542884825,0.27939127795398233,0.21220703125,1.0499788913875818e-05,0.228,2.7260541319847107,2.6292921900749207,0.09676188044250011,0.7506734877824783,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,12,0.0,1.0,0.2162,2.841126263141632,2.5646325170993807,0.27649373933672905,0.2189453125,1.0499788913875818e-05,0.209,2.767144501209259,2.557417094707489,0.20972735434770584,0.40301723778247833,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,13,0.0,1.0,0.2117,2.8453294038772583,2.5663198828697205,0.2790095226839185,0.2037109375,1.0499788913875818e-05,0.206,2.855498731136322,2.5511279106140137,0.30437083542346954,0.13166756555438042,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,14,0.0,1.0,0.208,2.8520038545131685,2.5755265235900877,0.2764773374423385,0.214453125,1.0499788913875818e-05,0.189,2.949058711528778,2.6396424770355225,0.3094162195920944,0.11415678821504116,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,15,0.0,1.0,0.2159,2.83304044008255,2.543005031347275,0.2900353971868753,0.19404296875,1.0499788913875818e-05,0.194,2.839964270591736,2.5283381938934326,0.31162603944540024,0.11610991321504116,0.0006874010869069025
neural_baseline_lambda_s_0,0,16,0.0,1.0,0.2209,2.8167907655239106,2.542722111940384,0.2740686345845461,0.208984375,1.0499788913875818e-05,0.189,2.904662251472473,2.629028081893921,0.275634229183197,0.17163927853107452,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,17,0.0,1.0,0.2198,2.84136603474617,2.564168471097946,0.27719753198325636,0.20927734375,1.0499788913875818e-05,0.213,2.846198320388794,2.511576235294342,0.3346221148967743,0.10223599150776863,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,18,0.0,1.0,0.2185,2.804373961687088,2.523923772573471,0.28045020159333944,0.20048828125,1.0499788913875818e-05,0.24,2.6318724155426025,2.5403539538383484,0.09151848778128624,0.713362067937851,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,19,0.0,1.0,0.2284,2.7907463014125824,2.5164118885993956,0.2743344210088253,0.212890625,1.0499788913875818e-05,0.231,2.6714435815811157,2.5497319102287292,0.12171161733567715,0.646484375,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,20,0.0,1.0,0.2242,2.796893483400345,2.5276035368442535,0.26928996220231055,0.22041015625,1.0499788913875818e-05,0.213,2.867059111595154,2.5440385937690735,0.3230205178260803,0.05872844811528921,1.0499788913875818e-05
