epoch,lambda_s,lambda_c,lambda_q,train_acc,train_loss,train_task,train_sens,train_sens_acc,train_cost,train_exp_cost,train_set,train_designated_queries,train_sens_q_rate,train_q_entropy,train_actor_grad_norm,actor_eps,sensitive_target_mode,test_acc,test_loss,test_task,test_sens,test_sens_acc,test_cost,test_exp_cost,test_set,test_designated_queries,test_sens_q_rate,test_q_entropy,run_name,seed
1,0.4,0.01,0.0,0.7156185855570069,1.2740635072128683,0.5572001494561569,0.47632287367235254,0.7524784909018988,0.24054048200951347,24.054048743429064,0.0,1.3585714992088607,0.0905714383751487,6.999858669587411e-06,0.727555925238736,1.0,max,0.7078572507172698,1.349468743801117,0.5886973828077317,0.5180611863732338,0.714818325638771,0.2427101768553257,24.271018028259277,0.0,0.0,0.0,6.999858692324779e-06,joint,1
2,0.4,0.01,0.0,0.712228649623686,1.287788130814516,0.5510235956952542,0.4950922503124309,0.7304440268987342,0.24167228603287588,24.16722909710075,0.0,0.0,0.0,6.999858669587411e-06,0.5375300440764131,1.0,max,0.7074042381839231,1.3605152130126954,0.5669907450675964,0.5521529585123062,0.6886257797479629,0.24137151911854743,24.13715238571167,0.0,0.0,0.0,6.999858692324779e-06,joint,1
3,0.4,0.01,0.0,0.7083162281520184,1.2847409214400038,0.5501661012067071,0.4939364904089819,0.7308952234968354,0.24063832963569254,24.063833466059044,0.0,0.0,0.0,6.999858672465559e-06,0.526862159858773,1.0,max,0.7135954094729954,1.3016153156757355,0.5524626225233078,0.5090829402208328,0.7178953289985657,0.24006973952054977,24.006974506378175,0.0,0.0,0.0,6.999858692324779e-06,joint,1
4,0.4,0.01,0.0,0.719748709336319,1.2700640559196472,0.5391741342182401,0.4909235171124905,0.7325207674050633,0.23996640345718287,23.996640905549256,0.0,0.0,0.0,6.999858669587411e-06,0.47541216428427,1.0,max,0.7134947400211405,1.3240756034851073,0.5559558987617492,0.5282178014516831,0.6903339326381683,0.23990191966295243,23.99019250869751,0.0,0.0,0.0,6.999858692324779e-06,joint,1
5,0.4,0.01,0.0,0.7178204888971823,1.2760832517207423,0.5431175116873994,0.49317977718914613,0.7298197685917721,0.23978596831424326,23.97859737541102,0.0,0.0,0.0,6.999858669587411e-06,0.48258137830409303,1.0,max,0.7048875018875522,1.315774405002594,0.5706685572862625,0.5054250419139862,0.718943053483963,0.23968084380030633,23.96808490753174,0.0,0.0,0.0,6.999858692324779e-06,joint,1
