lambda_c,validation_accuracy,validation_macro_f1,validation_mean_cost,validation_mean_sensitive_queries,best_epoch
0.0,0.7495344037851714,0.7492292781364518,23.75943217558584,3.269894800422812,3
0.01,0.7425882116071878,0.7418795166456575,22.642180453706725,5.9912920924145565,4
0.03,0.7439975839331555,0.7422733288641881,22.543344160028017,6.038405395882619,4
0.1,0.743695575577591,0.7416425539638694,22.542313356035194,6.000050334725928,2
0.2,0.7438465797553733,0.7425901462287918,22.540845433280914,6.0,3
0.3,0.7438465797553733,0.7425608662749863,22.54084447418227,6.0,4
