epoch,lambda_s,lambda_c,lambda_q,train_acc,train_loss,train_task,train_sens,train_sens_acc,train_cost,train_exp_cost,train_set,train_designated_queries,train_sens_q_rate,train_q_entropy,train_actor_grad_norm,actor_eps,sensitive_target_mode,test_acc,test_loss,test_task,test_sens,test_sens_acc,test_cost,test_exp_cost,test_set,test_designated_queries,test_sens_q_rate,test_q_entropy,run_name,seed
1,0.0,0.3,0.0,0.7528394600982771,7.3662583164021935,0.536465405286113,0.058388966019265354,0.9854380933544303,6.771403940418098,22.57134535342832,0.0,5.945559731012659,0.3963706756505785,6.999858669587411e-06,0.6878189645925702,1.0,max,0.7292495092364222,7.37189199924469,0.5814649105072022,0.02817252157256007,0.9945080816745758,6.762254595756531,22.540847301483154,0.0,6.0,0.40000003576278687,6.999858692324779e-06,uncertainty_lambda_c_0.3,1
2,0.0,0.3,0.0,0.7565466193941656,7.336446864695489,0.5337950104399573,0.04036990686355135,0.9912603837025317,6.762281942971145,22.54093855845777,0.0,5.99921504153481,0.3999477049595193,6.999858669587411e-06,0.21473533564499178,1.0,max,0.7411788392812201,7.365423107147217,0.5752400308847427,0.027928480738773943,0.9944592535495758,6.762254619598389,22.540847396850587,0.0,5.999999976158142,0.40000003278255464,6.999858692324779e-06,uncertainty_lambda_c_0.3,1
3,0.0,0.3,0.0,0.754699259812154,7.334713546535637,0.5324953321037413,0.03996243350291802,0.9913098299050633,6.762255771250665,22.540851303293735,0.0,5.999969096123418,0.39999797525285163,6.999858669587411e-06,0.16567523908470552,1.0,max,0.7431418935923894,7.344207549095154,0.554290133714676,0.027662699157372118,0.9944592535495758,6.762254691123962,22.54084768295288,0.0,6.0,0.40000003576278687,6.999858692324779e-06,uncertainty_lambda_c_0.3,1
4,0.0,0.3,0.0,0.7599987559868134,7.3299597728101515,0.5276800196004819,0.04002518861118374,0.9913036491297469,6.762254564067986,22.54084722301628,0.0,6.0,0.40000003576278687,6.999858669587411e-06,0.10458139065672242,1.0,max,0.7431418935923894,7.343332672119141,0.5537789076566696,0.027299289498478173,0.9944592535495758,6.762254428863526,22.540846729278563,0.0,5.999999976158142,0.40000003278255464,6.999858692324779e-06,uncertainty_lambda_c_0.3,1
5,0.0,0.3,0.0,0.7598121540088325,7.329935442043256,0.5278595933054067,0.039821222461347436,0.9913098299050633,6.762254612355292,22.540847404093682,0.0,6.0,0.40000003576278687,6.999858669587411e-06,0.10528094004902287,1.0,max,0.7297025217697689,7.34493613243103,0.5549230605363846,0.02775838915258646,0.9945080816745758,6.762254643440246,22.540847492218017,0.0,6.000000023841858,0.400000037252903,6.999858692324779e-06,uncertainty_lambda_c_0.3,1
