run_name,budget,seeds,accuracy,accuracy_std,macro_f1,macro_f1_std,mean_confidence,accuracy_ci95
neural_baseline_lambda_s_0,0,5,0.035699999999999996,0.00027386127875258316,0.0024620990682934535,1.8234452897895556e-05,0.0497928187251091,0.00034004369032912795
neural_baseline_lambda_s_0,1,5,0.0658,0.0017175564037317692,0.009571369304381126,0.0007055250794440057,0.08182647228240966,0.002132627951398067
neural_baseline_lambda_s_0,2,5,0.11949999999999998,0.008388980867781263,0.037412474968602345,0.009073509336195032,0.1326460286974907,0.010416295525144165
neural_baseline_lambda_s_0,3,5,0.1942,0.005707451270050411,0.09732031267126132,0.00799966677534578,0.21568005681037902,0.007086736763523946
neural_baseline_lambda_s_0,4,5,0.26470000000000005,0.030697312585957752,0.1885363109360887,0.03410202752117387,0.28617594838142396,0.03811574787959103
neural_baseline_lambda_s_0,5,5,0.3127,0.030328616849437766,0.24605335848120977,0.03729877125288742,0.3356142222881317,0.03765795165726294
neural_baseline_lambda_s_0,6,5,0.34209999999999996,0.031846114362665955,0.2852089007324163,0.039713513173760505,0.35744823813438414,0.03954217368680213
neural_baseline_lambda_s_0,7,5,0.36710000000000004,0.045632225455263506,0.31564776507758696,0.05058427091597929,0.37661553621292115,0.05665989150571806
neural_baseline_lambda_s_0,8,5,0.3848,0.049479288596340966,0.3390464237139923,0.056480989433937964,0.39045530557632446,0.06143665130681064
neural_baseline_lambda_s_0,9,5,0.3967,0.04744154297659383,0.36099108566159926,0.055558211487271546,0.3987919569015503,0.0589064559332732
neural_baseline_lambda_s_0,10,5,0.4112,0.0412349972717351,0.37194358610671624,0.047902110875538306,0.41016568541526793,0.05120001157834391
neural_baseline_lambda_s_0,11,5,0.42489999999999994,0.03290402710915488,0.3920041896727303,0.04042202281259349,0.42251065373420715,0.04085574585735829
neural_baseline_lambda_s_0,12,5,0.44210000000000005,0.026484429387849763,0.4183775771438622,0.03484852271076597,0.43484718799591066,0.0328847624838628
neural_baseline_lambda_s_0,13,5,0.45489999999999997,0.029011635596773926,0.4319938932377257,0.03480062850349464,0.4395188868045807,0.03602270344952096
neural_baseline_lambda_s_0,14,5,0.4624,0.03847466699011183,0.44081761717909346,0.04591577919554466,0.44498816728591917,0.04777260884450064
neural_baseline_lambda_s_0,15,5,0.4739,0.03733865289482201,0.4566177601702135,0.04628885310645038,0.4539809703826904,0.046362061040927244
neural_baseline_lambda_s_0,16,5,0.493,0.03171750305430741,0.48263237524092684,0.0363553773146018,0.4627837061882019,0.03938248165545143
neural_baseline_lambda_s_0,17,5,0.5019,0.028827937838145815,0.49274981136795837,0.03342427028940577,0.4681056022644043,0.03579461255608171
neural_baseline_lambda_s_0,18,5,0.5149,0.022196283472689746,0.5096546325564024,0.030926649294010705,0.47480480670928954,0.027560326081964077
neural_baseline_lambda_s_0,19,5,0.5239,0.015457198970059247,0.5205975796168683,0.0228899811916433,0.48077250123023985,0.019192647474194868
neural_baseline_lambda_s_0,20,5,0.5332,0.01988278149555538,0.5317320242901473,0.02610218168552552,0.4826354503631592,0.024687733967183108
neural_claq_lambda_s_0_4,0,5,0.035699999999999996,0.00027386127875258316,0.0024620990682934535,1.8234452897895556e-05,0.04915070384740829,0.00034004369032912795
neural_claq_lambda_s_0_4,1,5,0.0665,0.0020310096011589905,0.009899027017982431,0.00022343710622051995,0.0890915721654892,0.002521831501765304
neural_claq_lambda_s_0_4,2,5,0.11949999999999998,0.0026220221204253814,0.04596057498727513,0.010577754634283199,0.14498965442180634,0.0032556704694260905
neural_claq_lambda_s_0_4,3,5,0.1854,0.013150095056690656,0.10318570307575463,0.020754475871990086,0.21208189129829408,0.016327999604850076
neural_claq_lambda_s_0_4,4,5,0.2634,0.023190515302597307,0.18329744307699775,0.028485147011015906,0.2950896382331848,0.028794827951028546
neural_claq_lambda_s_0_4,5,5,0.3036,0.01351573157472436,0.23041205005266469,0.021343100308030744,0.34124613404273985,0.016781997305721105
neural_claq_lambda_s_0_4,6,5,0.331,0.016074047405678502,0.26608525078625384,0.02811219429591944,0.3720294177532196,0.01995856596905161
neural_claq_lambda_s_0_4,7,5,0.3435,0.015317473682040375,0.28418632537943106,0.026540490986353964,0.37941697239875793,0.019019155614423185
neural_claq_lambda_s_0_4,8,5,0.361,0.01683374586953242,0.30135184567863893,0.02434768725263371,0.3942218542098999,0.020901856201109723
neural_claq_lambda_s_0_4,9,5,0.3712,0.016091923440036623,0.3158775172065783,0.01972914683395436,0.39864385724067686,0.019980761997344745
