epoch,lambda_s,lambda_c,lambda_q,train_acc,train_loss,train_task,train_sens,train_sens_acc,train_cost,train_exp_cost,train_set,train_designated_queries,train_sens_q_rate,train_q_entropy,train_actor_grad_norm,actor_eps,sensitive_target_mode,test_acc,test_loss,test_task,test_sens,test_sens_acc,test_cost,test_exp_cost,test_set,test_designated_queries,test_sens_q_rate,test_q_entropy,run_name,seed
1,0.0,0.01,1.0,0.7495179448902158,1.3440172785445104,0.5282460305886932,0.2193905859890901,0.90234375,0.329828546582898,32.98285539844368,0.26655211629746833,0.26655211629746833,0.01332760607540796,6.999858672465559e-06,3.4830320022065973,1.0,max,0.7117330246136809,1.2869995296001435,0.5674023419618607,0.18298367634415627,0.9164973706007004,0.32893026024103167,32.89302635192871,0.20768324211239814,0.20768324211239814,0.010384162282571196,6.999858692324779e-06,uncertainty_lambda_c_0.01,1
2,0.0,0.01,1.0,0.7557442308888475,1.2343888818463193,0.5096611997371987,0.18386651896223238,0.9135803995253164,0.3268703622154043,32.68703704544261,0.2139908030063291,0.2139908030063291,0.010699540364874315,6.999858669587411e-06,0.2790285526311373,0.8,max,0.7318165802587205,1.2799206018447875,0.5376562952995301,0.19973241314291953,0.9011148482561111,0.32637905031442643,32.637906074523926,0.21615284234285354,0.21615284234285354,0.010807642247527838,6.999858692324779e-06,uncertainty_lambda_c_0.01,1
3,0.0,0.01,1.0,0.7607389438328046,1.2250973137119148,0.49969813397413565,0.19166565488410903,0.9104961926424051,0.3264674055802671,32.64674119104313,0.2072661194620253,0.2072661194620253,0.010363306148755776,6.999858669587411e-06,0.3120552419586832,0.6,max,0.750692102481502,1.2439916968345641,0.514917117357254,0.19156751781702042,0.9050749182701111,0.3261178687214851,32.61178741455078,0.2113891899585724,0.2113891899585724,0.010569459665566683,6.999858692324779e-06,uncertainty_lambda_c_0.01,1
4,0.0,0.01,1.0,0.7648255271505878,1.223497117621989,0.49561230196982997,0.19227030628089664,0.9069298852848101,0.32595025229303143,32.595025823086125,0.20966426028481014,0.20966426028481014,0.010483213169853898,6.999858669587411e-06,0.5108955731678789,0.3999999999999999,max,0.7514471233704132,1.2480469167232513,0.5139143586158752,0.19709693267941475,0.90367791056633,0.3256207719445229,32.56207809448242,0.2114148512482643,0.2114148512482643,0.01057074279524386,6.999858692324779e-06,uncertainty_lambda_c_0.01,1
5,0.0,0.01,1.0,0.7634508925794613,1.214778935230231,0.49528234404853627,0.18437456570954733,0.9121526404272152,0.32566791206975526,32.56679189657863,0.20945411392405064,0.20945411392405064,0.010472705870678153,6.999858669587411e-06,1.0962779225422,0.19999999999999996,max,0.7495344037851714,1.2173123896121978,0.5149280592799187,0.16867909505963324,0.9190620958805085,0.3253888860344887,32.53888931274414,0.20831634402275084,0.20831634402275084,0.010415817471221089,6.999858692324779e-06,uncertainty_lambda_c_0.01,1
