epoch,lambda_s,lambda_c,lambda_q,train_acc,train_loss,train_task,train_sens,train_sens_acc,train_cost,train_exp_cost,train_set,train_designated_queries,train_sens_q_rate,train_q_entropy,train_actor_grad_norm,actor_eps,sensitive_target_mode,test_acc,test_loss,test_task,test_sens,test_sens_acc,test_cost,test_exp_cost,test_set,test_designated_queries,test_sens_q_rate,test_q_entropy,run_name,seed
1,0.4,0.01,0.0,0.7228089817752068,1.1398351633850532,0.5552763350402252,0.3494960629864584,0.824422715585443,0.23506276894219313,23.50627744650539,0.0,3.63720703125,0.2424804815385915,6.999858669587411e-06,0.8007555321438085,1.0,max,0.6935621885538833,1.196430855989456,0.5626215398311615,0.39985607415437696,0.7855793088674545,0.2339532420039177,23.39532470703125,0.0,3.164129364490509,0.21094196811318397,6.999858692324779e-06,joint,3
2,0.4,0.01,0.0,0.7215774087205324,1.166277514228338,0.55108548908294,0.38205066493040396,0.8002126186708861,0.2331413575742818,23.314136311977723,0.0,3.1462865901898733,0.2097524507324907,6.999858669587411e-06,0.5439944378755356,1.0,max,0.7261287562289224,1.1777619898319245,0.5509986132383347,0.394302599132061,0.8050335735082627,0.23246079087257385,23.246079635620116,0.0,3.1601023197174074,0.21067349836230279,6.999858692324779e-06,joint,3
3,0.4,0.01,0.0,0.7258879144118928,1.151799145378644,0.5435552082107037,0.3759367650822748,0.8048852848101266,0.23230717227428774,23.23071776764302,0.0,3.241643591772152,0.21610958402669883,6.999858669587411e-06,0.42960706809104593,1.0,max,0.6864649921981175,1.1933831751346589,0.564932581782341,0.3963850364089012,0.7852863401174546,0.23206555843353271,23.206556510925292,0.0,3.4051324129104614,0.2270088367164135,6.999858692324779e-06,joint,3
4,0.4,0.01,0.0,0.7269328854885861,1.1595541699023186,0.5455611646175385,0.382214504895331,0.8021472013449367,0.23177849803167053,23.17785031282449,0.0,4.061381279667722,0.27075876578499997,6.999858669587411e-06,0.48155691166838654,1.0,max,0.7235113504806966,1.1677488267421723,0.5523138344287872,0.38363048881292344,0.7827472776174546,0.23180451095104218,23.180451679229737,0.0,4.16195695400238,0.27746381163597106,6.999858692324779e-06,joint,3
5,0.4,0.01,0.0,0.728898426323319,1.1657217650473872,0.549166767280313,0.3854029531343074,0.8012448081487342,0.23115204783934581,23.115205293969264,0.0,4.103045886075949,0.2735364071176022,6.999858672465559e-06,0.47185615766270356,1.0,max,0.7206926058287613,1.1820933759212493,0.5613386362791062,0.3888885617256165,0.7846515744924545,0.23186617717146873,23.18661823272705,0.0,4.096537232398987,0.2731024965643883,6.999858692324779e-06,joint,3
