lambda_s,lambda_c,accuracy,mean_cumulative_cost,sensitive_query_rate,probe_leakage_bits,leakage_reduction_fraction,cost_reduction_fraction,simultaneous_control_score
0.0,0.0,0.756,23.761140823364258,0.2176533341407776,0.84715066232339,0.0,0.0,0.0
0.4,0.001,0.722,24.295063018798828,0.0,0.27109174447000806,0.6799958301082908,-0.022470393968187178,-0.022470393968187178
0.4,0.003,0.7201,24.08292579650879,0.0,0.2725847653655863,0.6782334270765993,-0.013542488365210187,-0.013542488365210187
0.4,0.01,0.7373,23.584186553955078,0.13333334028720856,0.4460827506506323,0.4734316214459319,0.007447212687497777,0.007447212687497777
0.8,0.001,0.6991,24.18122100830078,0.0,0.1630757978823204,0.807500831746894,-0.0176792936020757,-0.0176792936020757
0.8,0.003,0.7136,24.021656036376953,0.0,0.14708976879748292,0.8263711812559109,-0.01096391856558215,-0.01096391856558215
0.8,0.01,0.717,23.817216873168945,0.0014400000218302011,0.22618419770626497,0.7330059365285349,-0.002359989792642788,-0.002359989792642788
1.2,0.001,0.713,24.046541213989258,0.0,0.15461745729191145,0.817485290198725,-0.012011224239888627,-0.012011224239888627
1.2,0.003,0.7156,24.088272094726562,0.0,0.16189506101233408,0.808894606104277,-0.013767490113127796,-0.013767490113127796
1.2,0.01,0.7187,24.066404342651367,0.0,0.23036113565384986,0.7280753638059341,-0.012847174365758763,-0.012847174365758763
