dataset,run_name,seeds,accuracy_mean,accuracy_ci95,macro_f1_mean,macro_f1_ci95,probe_leakage_bits_mean,probe_leakage_bits_ci95,mean_cumulative_cost_mean,mean_cumulative_cost_ci95,sensitive_query_rate_mean,sensitive_query_rate_ci95
Bias in Bios,base,5,0.48949999999999994,0.03278968739113117,0.48634161536112314,0.029925543286716778,0.5152925881241794,0.04617578570149299,16.600462341308592,0.17628843243381617,0.09653333276510238,0.04456046115465985
Bias in Bios,leak,5,0.4236,0.0646923625474754,0.41847683634468236,0.07945442988102895,0.013134679402544069,0.008041281727664714,16.53739700317383,0.21005401623684114,0.02852666601538658,0.026678707617922435
Bias in Bios,cost,5,0.4619,0.06196419652730858,0.4476397449938719,0.06838863303984793,0.41755378605832816,0.28653012281329115,15.84040355682373,0.1463976445915477,0.11650000363588334,0.03866426918765085
Bias in Bios,joint,5,0.4147,0.06926187205477445,0.39977356582928586,0.06717174286629074,0.008625211742207272,0.00760042841799575,15.866221809387207,0.14960180194886585,0.07349333502352237,0.04591938969698202
