run_name,seed,cost_budget,accuracy,macro_f1,mean_realized_cost,mean_queries,mean_sensitive_queries,cost_exhaustion_rate
baseline,0,4,0.650736399158401,0.6135535073553777,3.418338649295134,2.1856527402063923,0.18565274020639214,1.0
baseline,0,8,0.7596934174932372,0.7596510604285971,7.737849215087188,5.0,0.8997595431319507,1.0
baseline,0,12,0.73234144875263,0.7322333956967427,11.73896481300234,7.0,0.06647630497946097,1.0
baseline,0,16,0.7439134355275022,0.7438608580296737,15.146660091666536,9.0,0.0,1.0
baseline,0,20,0.7645526500350667,0.7644802472415431,19.764769927925773,12.0,0.5123234144875263,1.0
uncertainty_cost,0,4,0.7616471295461377,0.7615204931257612,3.9338157211369067,3.0,1.0,1.0
uncertainty_cost,0,8,0.6804428413986574,0.6799402953476886,7.870138294077412,5.0,0.02760244464482517,1.0
uncertainty_cost,0,12,0.732090972848412,0.7317497075817672,11.470585898112802,7.04213004708947,0.04213004708946999,1.0
uncertainty_cost,0,16,0.759342751227332,0.7589219454663008,15.815537696586512,9.975453361386634,0.7942089970944796,1.0
uncertainty_cost,0,20,0.746468289750526,0.746287410673534,19.60454326912846,12.073439535116721,0.07343953511672177,1.0
baseline,1,4,0.6409177437130548,0.6159057947485767,3.1795814401603466,2.0,0.0,1.0
baseline,1,8,0.7612964632802325,0.7611362408752145,7.804145041239213,5.0,1.0,1.0
baseline,1,12,0.741158200581104,0.7410557819117202,11.793613605587172,7.0,0.1531910630197375,1.0
baseline,1,16,0.739655345155796,0.7393484193509144,15.194379816073452,9.0,0.0,1.0
baseline,1,20,0.7504759042180142,0.7492898490496565,19.96046588593095,12.0,0.02710149283638914,1.0
uncertainty_cost,1,4,0.6409177437130548,0.6159057947485767,3.3193282500116923,2.1856527402063923,0.18565274020639214,1.0
uncertainty_cost,1,8,0.7609958921951708,0.7609556510893158,7.727025716651861,5.0,0.8143472597936079,1.0
uncertainty_cost,1,12,0.7215709848712554,0.7202687566939568,11.66239315922902,7.154443442540828,0.15699829676385132,1.0
uncertainty_cost,1,16,0.765003506662659,0.7649951551982249,15.839588021911966,9.996643622883479,0.8174030658250676,1.0
uncertainty_cost,1,20,0.7247770764452459,0.7213053062499437,19.612854832506958,12.122783288247671,0.12278328824767057,1.0
baseline,2,4,0.650736399158401,0.6135535073553777,3.1795814401603466,2.0,0.0,1.0
baseline,2,8,0.6979260595130748,0.6932215573916765,7.798087142796808,5.0,1.0,1.0
baseline,2,12,0.7326921150185353,0.7325972440211563,11.664817829885006,7.0,0.11682196172728183,1.0
baseline,2,16,0.7244264101793407,0.7145946698015702,15.654069904382428,9.628594329225528,0.6285943292255285,1.0
baseline,2,20,0.753782186153692,0.7528817127780649,19.773272252921267,12.0,0.4383829275623685,1.0
uncertainty_cost,2,4,0.6956717763751127,0.6791255696391233,3.1492008930718822,2.0,0.0,1.0
uncertainty_cost,2,8,0.7084961426710751,0.6947982325546583,7.701008817330473,5.0,0.8321310489930869,1.0
uncertainty_cost,2,12,0.7127041378619376,0.6999409131751039,11.471934986477589,7.06201783388438,0.06201783388438032,1.0
uncertainty_cost,2,16,0.7324416391143173,0.7238602140378925,15.72050313578855,9.92951608055305,0.7625488428013225,1.0
uncertainty_cost,2,20,0.7488227632501754,0.7481125149249602,19.616982366383976,12.000050095180844,5.009518084360284e-05,1.0
baseline,3,4,0.6223324316200781,0.5697419292138495,3.585085149853302,2.0,0.0,1.0
baseline,3,8,0.7482717162608957,0.7468441934514007,7.7702916510035145,4.845456367097485,0.8454563670974852,1.0
baseline,3,12,0.7297364993487626,0.7296983982755612,11.745407890716926,7.0,0.16130648231640116,1.0
baseline,3,16,0.7432121029956918,0.7431340378914226,15.222697720787064,9.039374812143071,0.039374812143071834,1.0
baseline,3,20,0.7457669572187156,0.745375200799772,19.8899456919846,12.0,0.23294259092275324,1.0
uncertainty_cost,3,4,0.650736399158401,0.6135535073553777,3.2736549377441406,2.0,0.0,1.0
uncertainty_cost,3,8,0.7496242861436729,0.7488364568853952,7.752302870938181,5.0,1.0,1.0
uncertainty_cost,3,12,0.735998396954213,0.7358902189131049,11.640305982803179,7.0,0.0,1.0
uncertainty_cost,3,16,0.7506261897605451,0.7501922349730845,15.671879137031732,9.79310690311592,0.6330528003206092,1.0
uncertainty_cost,3,20,0.7384530608155495,0.7316560471990756,19.54897219947698,12.0,0.00010019036168720569,1.0
baseline,4,4,0.6238352870453863,0.5796649966546001,3.585085149853302,2.0,0.0,1.0
baseline,4,8,0.6955715860134255,0.6783973082834269,7.837690648878759,5.0,1.0,1.0
baseline,4,12,0.7367999198477106,0.7350852157914713,11.542887780843357,7.0,0.7121029956918145,1.0
baseline,4,16,0.7470694319206492,0.746673677091314,15.195685127481122,9.044835186855025,0.04483518685502454,1.0
baseline,4,20,0.7503757138563271,0.7491186870621483,19.88963604957543,12.0,0.18379921851517883,1.0
uncertainty_cost,4,4,0.650736399158401,0.6135535073553777,3.3963910985621215,2.1856527402063923,0.18565274020639214,1.0
uncertainty_cost,4,8,0.7157599438933975,0.7118680654944558,7.798527845219875,5.0,0.8143472597936079,1.0
uncertainty_cost,4,12,0.7382025849113315,0.7381803400451253,11.64421127048168,7.155244965434325,0.15524496543432523,1.0
uncertainty_cost,4,16,0.7353972547840898,0.7342138517166388,15.69147573240223,9.861737300871656,0.6762348462077948,1.0
uncertainty_cost,4,20,0.7522793307283839,0.7519575383816349,19.680764397331735,12.151137160605149,0.15113716060514978,1.0
