epoch,lambda_s,lambda_c,lambda_q,train_acc,train_loss,train_task,train_sens,train_sens_acc,train_cost,train_exp_cost,train_set,train_designated_queries,train_sens_q_rate,train_q_entropy,train_actor_grad_norm,actor_eps,sensitive_target_mode,test_acc,test_loss,test_task,test_sens,test_sens_acc,test_cost,test_exp_cost,test_set,test_designated_queries,test_sens_q_rate,test_q_entropy,run_name,seed
1,0.0,0.0,1.0,0.753417926230018,0.9934815036345132,0.5253873358044443,0.21798291311988346,0.9022448575949367,0.0,33.062657223472115,0.2501112539556962,0.2501112539556962,0.01250556289348044,6.999858669587411e-06,3.1926634100721145,1.0,max,0.7240146977399708,0.9464157909154892,0.5613613039255142,0.17588906064629556,0.9187889665365219,0.0,33.114753532409665,0.20916543155908585,0.20916543155908585,0.010458271717652678,6.999858692324779e-06,baseline,4
2,0.0,0.0,1.0,0.7625241027554892,0.8880630308125592,0.49806550116855886,0.17964102507604263,0.9168067642405063,0.0,33.12866169893289,0.21035650712025317,0.21035650712025317,0.010517825555244956,6.999858669587411e-06,0.20892221774354053,0.8,max,0.7499874163185182,0.8914985746145249,0.5138442039489746,0.15906345695257187,0.9272842288017273,0.0,33.14125347137451,0.21859092265367508,0.21859092265367508,0.01092954627238214,6.999858692324779e-06,baseline,4
3,0.0,0.0,1.0,0.7663618834359645,0.8748210959042175,0.49230456710616244,0.1717335503501228,0.9209293413765823,0.0,33.1086031032514,0.2107829806170886,0.2107829806170886,0.010539149193541158,1.128404358185642e-05,0.2785911289146141,0.6,max,0.7481250314592037,0.9087629199028016,0.5154582038521767,0.18677184581756592,0.90362908244133,0.0,33.10798568725586,0.20653287023305894,0.20653287023305894,0.010326643637381495,6.999858692324779e-06,baseline,4
4,0.0,0.0,1.0,0.7658891584250793,0.8732195389044436,0.4890813902963566,0.17387435330620296,0.920057852056962,0.0,33.10100548176826,0.21026379549050633,0.21026379549050633,0.010513189970810391,6.999858672465559e-06,0.5058688414312569,0.3999999999999999,max,0.7547188805556954,0.8790919810533524,0.5091939747333527,0.15272060707211493,0.9310936540365219,0.0,33.08241157531738,0.21717740148305892,0.21717740148305892,0.010858870251104236,6.999858692324779e-06,baseline,4
5,0.0,0.0,1.0,0.7687441686881881,0.8776891872852663,0.49034614049935643,0.17178232760369022,0.9183086926424051,0.0,33.09993970846828,0.21556071993670886,0.21556071993670886,0.010778036183689403,1.1284044318662254e-05,1.217384863395798,0.19999999999999996,max,0.7456082951628329,0.9110961794853211,0.5227142587304116,0.1696651868522167,0.9192780792713166,0.0,33.111442756652835,0.21871673464775085,0.21871673464775085,0.01093583689071238,6.999858692324779e-06,baseline,4
