run_name,seed,epoch,lambda_s,lambda_c,lambda_q,actor_eps,train_accuracy,train_loss,train_task_loss,train_sensitive_loss,train_cost_penalty,train_exp_cost,train_set_penalty,train_designated_queries,validation_accuracy,validation_loss,validation_task_loss,validation_sensitive_loss,validation_cost_penalty,validation_exp_cost,validation_set_penalty,validation_designated_queries
baseline,0,1,0.0,0.0,1.0,1.0,0.3417777777777778,3.236985352304247,2.5073158575428858,0.6413448601961136,0.0,22.008976565466988,0.08832465277777778,0.08832465277777778,0.461,2.623078227043152,2.136035203933716,0.48704297095537186,0.0,22.114378929138184,0.0,0.0
baseline,0,2,0.0,0.0,1.0,0.9836734693877551,0.4938888888888889,2.434110793802473,1.9685583942466311,0.4655524119734764,0.0,22.070125685797798,0.0,0.0,0.515,2.4095916748046875,1.9330527186393738,0.47653891891241074,0.0,22.056171894073486,0.0,0.0
baseline,0,3,0.0,0.0,1.0,0.9673469387755103,0.5404444444444444,2.2950139972898693,1.8410811987188127,0.4539328043659528,0.0,22.05590279897054,0.0,0.0,0.533,2.2810081839561462,1.85019052028656,0.430817686021328,0.0,22.065335750579834,0.0,0.0
baseline,0,4,0.0,0.0,1.0,0.9510204081632653,0.5477777777777778,2.2242005699210696,1.7851483987437353,0.43905214799775016,0.0,22.087892002529568,0.0,0.0,0.528,2.23196679353714,1.8150459825992584,0.4169207885861397,0.0,22.030614376068115,0.0,0.0
baseline,0,5,0.0,0.0,1.0,0.9346938775510204,0.5608888888888889,2.1656163930892944,1.748089462518692,0.4175269231200218,0.0,22.113630877600777,0.0,0.0,0.564,2.233107805252075,1.8066209256649017,0.42648686468601227,0.0,22.13965940475464,0.0,0.0
baseline,0,6,0.0,0.0,1.0,0.9183673469387755,0.5667777777777778,2.1531992389096155,1.7230695717864566,0.43012967622942394,0.0,22.13121811548869,0.0,0.0,0.572,2.172130823135376,1.7573752403259277,0.41475555300712585,0.0,22.11685085296631,0.0,0.0
baseline,0,7,0.0,0.0,1.0,0.9020408163265305,0.5703333333333334,2.1613491740491657,1.7417906489637163,0.4195585184627109,0.0,22.187602361043293,0.0,0.0,0.561,2.1540998816490173,1.7569097876548767,0.39719007909297943,0.0,22.1300630569458,0.0,0.0
baseline,0,8,0.0,0.0,1.0,0.8857142857142857,0.5773333333333334,2.1304397020075054,1.714367048607932,0.41607265257173115,0.0,22.147191577487522,0.0,0.0,0.58,2.1697121262550354,1.7474437654018402,0.4222683981060982,0.0,22.183979034423828,0.0,0.0
baseline,0,9,0.0,0.0,1.0,0.8693877551020408,0.5756666666666667,2.1163020167085858,1.7035246590773265,0.4127773435579406,0.0,22.24011622534858,0.0,0.0,0.556,2.177607297897339,1.7662213146686554,0.4113859310746193,0.0,22.21018648147583,0.0,0.0
baseline,0,10,0.0,0.0,1.0,0.8530612244897959,0.5735555555555556,2.091507315635681,1.6797099113464355,0.4117973926994536,0.0,22.14947001139323,0.0,0.0,0.563,2.128815472126007,1.7137711644172668,0.41504430770874023,0.0,22.15932321548462,0.0,0.0
baseline,0,11,0.0,0.0,1.0,0.8367346938775511,0.5783333333333334,2.0960215197669134,1.6808296508259244,0.4151918672853046,0.0,22.17239538828532,0.0,0.0,0.577,2.145099639892578,1.7216438949108124,0.42345578968524933,0.0,22.193021774291992,0.0,0.0
baseline,0,12,0.0,0.0,1.0,0.8204081632653061,0.5726666666666667,2.0908047325081296,1.6824302176634471,0.40837451815605164,0.0,22.205899397532146,0.0,0.0,0.581,2.1261258721351624,1.7157869040966034,0.410338930785656,0.0,22.225440979003906,0.0,0.0
baseline,0,13,0.0,0.0,1.0,0.8040816326530612,0.5791111111111111,2.0682484341992273,1.6707965665393405,0.39745185855362153,0.0,22.23338990741306,0.0,0.0,0.587,2.12284654378891,1.721831738948822,0.4010148346424103,0.0,22.245530605316162,0.0,0.0
baseline,0,14,0.0,0.0,1.0,0.7877551020408163,0.5853333333333334,2.0635030468304953,1.6560618579387665,0.4074411806133058,0.0,22.24378267923991,0.0,0.0,0.582,2.150308609008789,1.7250079810619354,0.42530064284801483,0.0,22.257872581481934,0.0,0.0
baseline,0,15,0.0,0.0,1.0,0.7714285714285715,0.5843333333333334,2.068004253837797,1.6575806770059798,0.41042358842160964,0.0,22.27456548478868,0.0,0.0,0.584,2.109498620033264,1.6885919570922852,0.4209066778421402,0.0,22.301217555999756,0.0,0.0
baseline,0,16,0.0,0.0,1.0,0.7551020408163265,0.5866666666666667,2.0490313238567777,1.6435665686925252,0.4054647692375713,0.0,22.265090942382812,0.0,0.0,0.58,2.047611653804779,1.6717086434364319,0.37590301036834717,0.0,22.241680145263672,0.0,0.0
baseline,0,17,0.0,0.0,1.0,0.7387755102040816,0.5901111111111111,2.031938566101922,1.632148289018207,0.3997902762558725,0.0,22.28455140855577,0.0,0.0,0.585,2.0895879566669464,1.6946572065353394,0.39493075013160706,0.0,22.24303388595581,0.0,0.0
baseline,0,18,0.0,0.0,1.0,0.7224489795918367,0.5881111111111111,2.025551527738571,1.6296171810891893,0.3959343358874321,0.0,22.285202556186253,0.0,0.0,0.574,2.118417501449585,1.7081809043884277,0.4102366715669632,0.0,22.30720567703247,0.0,0.0
baseline,0,19,0.0,0.0,1.0,0.7061224489795919,0.588,2.0423572262128196,1.6395669943756528,0.40279023514853585,0.0,22.299467616611057,0.0,0.0,0.587,2.117036759853363,1.694378525018692,0.42265814542770386,0.0,22.29502296447754,0.0,0.0
baseline,0,20,0.0,0.0,1.0,0.689795918367347,0.5903333333333334,2.01866767472691,1.6199866831302643,0.39868099573585725,0.0,22.302943653530544,0.0,0.0,0.582,2.0980132818222046,1.6804214715957642,0.41759180277585983,0.0,22.260730266571045,0.0,0.0
baseline,0,21,0.0,0.0,1.0,0.673469387755102,0.5934444444444444,2.032594472169876,1.6279375818040636,0.40465688622660106,0.0,22.344741609361435,0.0,0.0,0.59,2.0645240247249603,1.661266565322876,0.40325743705034256,0.0,22.37376594543457,0.0,0.0
baseline,0,22,0.0,0.0,1.0,0.6571428571428571,0.5906666666666667,2.022185295820236,1.629560778538386,0.39262450320853126,0.0,22.341060479482014,0.0,0.0,0.593,2.0929232835769653,1.690292865037918,0.40263038873672485,0.0,22.232004642486572,0.0,0.0
baseline,0,23,0.0,0.0,1.0,0.6408163265306122,0.5894444444444444,2.01378732919693,1.6206836932235293,0.393103640112612,0.0,22.29749451743232,0.0,0.0,0.581,2.0363264679908752,1.650918424129486,0.38540802896022797,0.0,22.318828582763672,0.0,0.0
baseline,0,24,0.0,0.0,1.0,0.6244897959183673,0.5904444444444444,2.0284094081984625,1.6325944993231032,0.3958149055639903,0.0,22.2941091855367,0.0,0.0,0.592,2.1100356578826904,1.6963072419166565,0.41372842341661453,0.0,22.286149501800537,0.0,0.0
baseline,0,25,0.0,0.0,1.0,0.6081632653061224,0.5961111111111111,2.0035596655474768,1.60455232196384,0.39900734192795223,0.0,22.29519028133816,0.0,0.0,0.592,2.077161133289337,1.6757852435112,0.401375912129879,0.0,22.317768573760986,0.0,0.0
baseline,0,26,0.0,0.0,1.0,0.5918367346938775,0.5962222222222222,1.9908389813370175,1.597861607869466,0.3929773759510782,0.0,22.33760902616713,0.0,0.0,0.584,2.0695289075374603,1.6826634407043457,0.3868655040860176,0.0,22.38284397125244,0.0,0.0
baseline,0,27,0.0,0.0,1.0,0.5755102040816327,0.6001111111111112,1.9950715568330553,1.6036646862824757,0.3914068730341064,0.0,22.367440753512913,0.0,0.0,0.581,2.083312302827835,1.680801123380661,0.4025111570954323,0.0,22.315221309661865,0.0,0.0
baseline,0,28,0.0,0.0,1.0,0.5591836734693878,0.5998888888888889,1.9820838868618011,1.5967255433400471,0.38535832944843507,0.0,22.290763325161404,0.0,0.0,0.579,2.0927577018737793,1.6835224628448486,0.40923522412776947,0.0,22.293980598449707,0.0,0.0
baseline,0,29,0.0,0.0,1.0,0.5428571428571429,0.5977777777777777,1.9924779501226213,1.5961494611369238,0.39632848815785515,0.0,22.338980197906494,0.0,0.0,0.59,2.065167248249054,1.6723988056182861,0.3927684649825096,0.0,22.347638607025146,0.0,0.0
baseline,0,30,0.0,0.0,1.0,0.5265306122448979,0.6055555555555555,1.9777188334200118,1.5862988597816892,0.3914199769496918,0.0,22.336564434899223,0.0,0.0,0.605,2.041980266571045,1.6518002450466156,0.3901800215244293,0.0,22.34731101989746,0.0,0.0
baseline,0,31,0.0,0.0,1.0,0.510204081632653,0.5993333333333334,1.9806260301007166,1.5859038200643327,0.39472220838069916,0.0,22.324470414055718,0.0,0.0,0.6,2.053301066160202,1.6526114344596863,0.40068963170051575,0.0,22.35507583618164,0.0,0.0
baseline,0,32,0.0,0.0,1.0,0.4938775510204081,0.598,1.9895067082511053,1.5930986238850489,0.3964080851938989,0.0,22.361351754930283,0.0,0.0,0.58,2.047118663787842,1.6611366868019104,0.3859819993376732,0.0,22.347190380096436,0.0,0.0
baseline,0,33,0.0,0.0,1.0,0.47755102040816333,0.6021111111111112,1.9880821771091886,1.5942868888378143,0.39379528247647816,0.0,22.3143662876553,0.0,0.0,0.598,2.071509838104248,1.6492812633514404,0.422228641808033,0.0,22.328238487243652,0.0,0.0
baseline,0,34,0.0,0.0,1.0,0.46122448979591835,0.5986666666666667,1.993187838130527,1.5950507488515642,0.39813707189427483,0.0,22.325063599480522,0.0,0.0,0.589,2.032909482717514,1.6531765162944794,0.37973296642303467,0.0,22.304100513458252,0.0,0.0
baseline,0,35,0.0,0.0,1.0,0.4448979591836735,0.5986666666666667,1.967016985019048,1.577402909596761,0.38961407873365617,0.0,22.33707110087077,0.0,0.0,0.586,2.0585388243198395,1.6593064963817596,0.3992323726415634,0.0,22.356593132019043,0.0,0.0
