lambda_c,accuracy,mean_cumulative_cost,sensitive_query_rate,macro_f1
0.0,0.541,16.636188507080078,0.06666667014360428,0.5262014409907129
0.01,0.544,16.166501998901367,0.09239999949932098,0.5266333327141403
0.03,0.541,16.036102294921875,0.131400004029274,0.5192630946150881
0.1,0.451,15.859861373901367,0.12306666374206543,0.41600111237723786
0.2,0.397,15.614908218383789,0.13899999856948853,0.36415293285590516
0.3,0.369,15.587834358215332,0.1656000018119812,0.33850795659519894
