run_name,lambda_s,seeds,epoch,validation_acc,validation_acc_std,validation_sens_q_rate,validation_sens_q_rate_std,validation_loss,validation_loss_std,validation_q_entropy,actor_eps,validation_acc_ci95,validation_sens_q_rate_ci95
baseline,0.0,5,5.0,0.7250213922585191,0.002551727358058401,0.6162066361308097,0.09143239157364776,0.7640756702423095,0.014668658586420394,6.999858692324779e-06,0.19999999999999996,0.003168387993732722,0.11352830888666762
lam_0.20,0.2,5,5.0,0.7148739115115518,0.005741866432421094,0.3684841898083687,0.07558677366983865,0.8120248705148697,0.018567038477201047,6.999858692324779e-06,0.19999999999999996,0.007129468831631959,0.09385337560621487
lam_0.40,0.4,5,5.0,0.6930588412946092,0.006941813865428837,0.036438659476116304,0.05014749044878198,0.8691578531265259,0.005430995771401062,6.999858692324779e-06,0.19999999999999996,0.008619400358934697,0.06226633349051971
