epoch,lambda_s,lambda_c,lambda_q,train_acc,train_loss,train_task,train_sens,train_sens_acc,train_cost,train_exp_cost,train_set,train_designated_queries,train_sens_q_rate,train_q_entropy,train_actor_grad_norm,actor_eps,sensitive_target_mode,test_acc,test_loss,test_task,test_sens,test_sens_acc,test_cost,test_exp_cost,test_set,test_designated_queries,test_sens_q_rate,test_q_entropy,run_name,seed
1,0.0,0.1,1.0,0.7401443055296386,4.26644946351836,0.5458149753416641,0.23408249380137724,0.896836679193038,3.241954015780099,32.41953971717931,0.24459800237341772,0.24459800237341772,0.012229900323797631,6.999858672465559e-06,3.202349663997228,1.0,max,0.7154074596063824,4.221176028251648,0.587307232618332,0.19323328882455826,0.9123196572065353,3.231395626068115,32.313956069946286,0.20923992097377778,0.20923992097377778,0.010461996216326952,6.999858692324779e-06,uncertainty_lambda_c_0.1,0
2,0.0,0.1,1.0,0.748379672824532,4.168076305449763,0.5270486440085158,0.19757127422320692,0.9090375296677216,3.2311652778070186,32.31165231632281,0.2122910897943038,0.2122910897943038,0.010614554657117475,6.999858672465559e-06,0.4287873731183383,0.8,max,0.7398701364071073,4.166518950462342,0.5428421437740326,0.18436034247279168,0.9155903100967407,3.2301931858062742,32.301931381225586,0.20912325605750084,0.20912325605750084,0.010456163110211492,6.999858692324779e-06,uncertainty_lambda_c_0.1,0
3,0.0,0.1,1.0,0.7516825278347951,4.1655844585805,0.5191776077204113,0.19451657677941683,0.9095567147943038,3.2301116864892503,32.30111643634265,0.22177857990506328,0.22177857990506328,0.01108892919802213,6.999858669587411e-06,0.36437119782572214,0.6,max,0.7363467055921881,4.1641560077667235,0.5382012516260147,0.18155038431286813,0.9169566661119462,3.2302816033363344,32.302815437316895,0.21412273347377778,0.21412273347377778,0.01070613688789308,6.999858692324779e-06,uncertainty_lambda_c_0.1,0
4,0.0,0.1,1.0,0.7531753436586428,4.1526595776594135,0.5193033207066452,0.19397939186059882,0.9091178797468354,3.230367778222772,32.30367728124691,0.20900909810126583,0.20900909810126583,0.01045045505655057,6.999858669587411e-06,0.4180711318401302,0.3999999999999999,max,0.7243670408214627,4.178363227844239,0.5564223468303681,0.1791605196893215,0.91637322306633,3.2296598315238954,32.29659786224365,0.21312050968408586,0.21312050968408586,0.010656025679782032,6.999858692324779e-06,uncertainty_lambda_c_0.1,0
5,0.0,0.1,1.0,0.7461342290228277,4.155540163003946,0.5244330622350113,0.19242612357381023,0.9091735067246836,3.2302652310721482,32.30265182784841,0.20841574367088608,0.20841574367088608,0.010420787378061043,6.999858669587411e-06,0.5347500143946985,0.19999999999999996,max,0.737554739014446,4.162801671028137,0.5381820559501648,0.18158997371792793,0.9127599418163299,3.2303767442703246,32.3037670135498,0.21265290006995202,0.21265290006995202,0.010632645152509213,6.999858692324779e-06,uncertainty_lambda_c_0.1,0
