epoch,lambda_s,lambda_c,lambda_q,train_acc,train_loss,train_task,train_sens,train_sens_acc,train_cost,train_exp_cost,train_set,train_designated_queries,train_sens_q_rate,train_q_entropy,train_actor_grad_norm,actor_eps,sensitive_target_mode,test_acc,test_loss,test_task,test_sens,test_sens_acc,test_cost,test_exp_cost,test_set,test_designated_queries,test_sens_q_rate,test_q_entropy,run_name,seed
1,0.0,0.0,0.0,0.7626049636126143,0.7364410244965856,0.5031719645367393,0.23326905967691278,0.8779111451740507,0.0,24.513589388207546,0.0,2.519803204113924,0.1679868893344191,6.999858669587411e-06,0.35562719292150324,1.0,max,0.7529571651482357,0.7517746686935425,0.5255822747945785,0.2261923871934414,0.8848815768957138,0.0,24.52034435272217,0.0,2.5685542106628416,0.17123695686459542,6.999858692324779e-06,base,4
2,0.0,0.0,0.0,0.7634384524475959,0.7114777753624735,0.49795656113684933,0.21352121290526813,0.8883690170094937,0.0,24.55918578860126,0.0,2.879122577136076,0.19194151508279994,6.999858669587411e-06,0.30593118795799384,1.0,max,0.7583429808224694,0.7046816498041153,0.5094158798456192,0.19526576697826387,0.89425408244133,0.0,24.54364433288574,0.0,2.7628560662269592,0.18419041633605956,6.999858692324779e-06,base,4
3,0.0,0.0,0.0,0.7676991976114946,0.6997526291804977,0.4916081568108329,0.20814447057775304,0.8904766613924051,0.0,24.617193535913394,0.0,2.564997033227848,0.1709998114199578,6.999858672465559e-06,0.2742524116148633,1.0,max,0.755876579252026,0.7231098204851151,0.5175296992063523,0.20558012872934342,0.8899323761463165,0.0,24.67290267944336,0.0,2.5238624572753907,0.16825750544667245,6.999858692324779e-06,base,4
4,0.0,0.0,0.0,0.7685637867761398,0.6979665030972867,0.48820101714964154,0.2097654835780776,0.8899883801424051,0.0,24.685709808446184,0.0,2.457791485363924,0.1638527746441998,6.999858669587411e-06,0.2513975739465066,1.0,max,0.7566316001409372,0.7000727444887161,0.5086861297488212,0.19138661473989488,0.8969156295061111,0.0,24.70554075241089,0.0,2.5422664999961855,0.1694844424724579,6.999858692324779e-06,base,4
5,0.0,0.0,0.0,0.7696398581824967,0.6956603489344633,0.4897330484435528,0.20592729855753197,0.8908722310126582,0.0,24.704283786725394,0.0,2.4937945015822787,0.1662529756939864,6.999858672465559e-06,0.2716961497169421,1.0,max,0.7427895505108975,0.7093791186809539,0.5157253831624985,0.19365373700857164,0.8993578672409057,0.0,24.762339782714843,0.0,2.3349060654640197,0.15566041097044944,6.999858692324779e-06,base,4
