run_name,seed,epoch,lambda_s,actor_eps,train_accuracy,train_loss,train_task_loss,train_sensitive_loss,train_sensitive_query_rate,train_query_entropy,validation_accuracy,validation_loss,validation_task_loss,validation_sensitive_loss,validation_sensitive_query_rate,validation_query_entropy
neural_baseline_lambda_s_0,4,1,0.0,1.0,0.121,3.541254222393036,3.0333910286426544,0.5078631632030011,0.08310546875,1.0499788913875818e-05,0.167,3.094044268131256,2.767970025539398,0.3260742425918579,0.08940597996115685,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,2,0.0,0.9836734693877551,0.1838,3.0436582922935487,2.7164541840553285,0.3272040974348783,0.15654296875,1.0499788913875818e-05,0.166,3.02048122882843,2.6796393990516663,0.3408418521285057,0.10321255400776863,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,3,0.0,0.9673469387755103,0.1832,2.987733918428421,2.673841041326523,0.3138928567990661,0.13447265625,1.0499788913875818e-05,0.212,2.8853331804275513,2.629106819629669,0.2562263496220112,0.32172682881355286,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,4,0.0,0.9510204081632653,0.201,2.946879857778549,2.6395866513252257,0.3072932042181492,0.159375,1.0499788913875818e-05,0.181,2.9886207580566406,2.6786375045776367,0.3099832609295845,0.14466594904661179,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,5,0.0,0.9346938775510204,0.1991,2.9291557908058166,2.6270665168762206,0.3020892672240734,0.14306640625,1.0499788913875818e-05,0.2,2.8346632719039917,2.6934492588043213,0.14121397957205772,0.5808526426553726,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,6,0.0,0.9183673469387755,0.2064,2.9312992691993713,2.620455038547516,0.3108442299067974,0.1431640625,1.0499788913875818e-05,0.198,2.929770529270172,2.6191486120224,0.31062187999486923,0.09947467595338821,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,7,0.0,0.9020408163265305,0.2079,2.9058801352977754,2.5954312801361086,0.31044885516166687,0.134375,1.0499788913875818e-05,0.187,2.9679993987083435,2.627342402935028,0.3406570628285408,0.03791756462305784,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,8,0.0,0.8857142857142857,0.2088,2.8953658819198607,2.602133196592331,0.29323267824947835,0.15009765625,1.0499788913875818e-05,0.218,2.810279607772827,2.5443844199180603,0.26589516177773476,0.24067214503884315,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,9,0.0,0.8693877551020408,0.214,2.874364346265793,2.5803104519844053,0.29405386932194233,0.15986328125,1.0499788913875818e-05,0.203,2.7225217819213867,2.6449307203292847,0.07759108673781157,0.6784415394067764,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,10,0.0,0.8530612244897959,0.2127,2.8730345726013184,2.5876299679279327,0.28540460020303726,0.16171875,1.0499788913875818e-05,0.216,2.8581483364105225,2.582263708114624,0.27588464319705963,0.19888200610876083,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,11,0.0,0.8367346938775511,0.2128,2.8523805022239683,2.5672390162944794,0.28514149487018586,0.17265625,1.0499788913875818e-05,0.211,2.7748906016349792,2.5729843378067017,0.2019062153995037,0.3771551698446274,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,12,0.0,0.8204081632653061,0.2131,2.862619471549988,2.5784662067890167,0.28415327370166776,0.1763671875,1.0499788913875818e-05,0.204,2.91890686750412,2.611510694026947,0.30739615112543106,0.07984240353107452,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,13,0.0,0.8040816326530612,0.2175,2.839001405239105,2.559097719192505,0.2799036867916584,0.176513671875,7.818993617547676e-05,0.185,2.939941883087158,2.6200997829437256,0.3198421373963356,0.08004445023834705,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,14,0.0,0.7877551020408163,0.2212,2.8304742515087127,2.540504640340805,0.28996961638331414,0.1708984375,1.0499788913875818e-05,0.185,2.9358531832695007,2.6154133081436157,0.3204398900270462,0.14981815591454506,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,15,0.0,0.7714285714285715,0.2218,2.822056549787521,2.5358867168426515,0.28616984374821186,0.1759765625,1.0499788913875818e-05,0.213,2.8618656992912292,2.5338143706321716,0.32805123180150986,0.056505925953388214,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,16,0.0,0.7551020408163265,0.223,2.82685849070549,2.5345506072044373,0.2923079080879688,0.1453125,1.0499788913875818e-05,0.237,2.8193346858024597,2.4877399802207947,0.33159466832876205,0.06556438561528921,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,17,0.0,0.7387755102040816,0.2235,2.8191562473773955,2.5219438433647157,0.2972124006599188,0.13193359375,1.0499788913875818e-05,0.225,2.866035521030426,2.5355212688446045,0.33051421493291855,0.02677128231152892,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,18,0.0,0.7224489795918367,0.2311,2.805755341053009,2.5079703092575074,0.29778502359986303,0.117578125,1.0499788913875818e-05,0.213,2.8416934609413147,2.5606878995895386,0.2810055539011955,0.18305495753884315,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,19,0.0,0.7061224489795919,0.2272,2.8251043021678925,2.5241872012615203,0.3009170971810818,0.13310546875,7.81899128924124e-05,0.234,2.8196296095848083,2.505284368991852,0.31434523314237595,0.05121901910752058,1.0499788913875818e-05
neural_baseline_lambda_s_0,4,20,0.0,0.689795918367347,0.2306,2.81507408618927,2.5195277452468874,0.2955463368445635,0.1369140625,1.0499788913875818e-05,0.222,2.8373404145240784,2.536382734775543,0.30095767229795456,0.15247844904661179,1.0499788913875818e-05
