epoch,lambda_s,lambda_c,lambda_q,train_acc,train_loss,train_task,train_sens,train_sens_acc,train_cost,train_exp_cost,train_set,train_designated_queries,train_sens_q_rate,train_q_entropy,train_actor_grad_norm,actor_eps,sensitive_target_mode,test_acc,test_loss,test_task,test_sens,test_sens_acc,test_cost,test_exp_cost,test_set,test_designated_queries,test_sens_q_rate,test_q_entropy,run_name,seed
1,0.0,0.1,0.0,0.7536542887354606,2.843273648732825,0.5300522208025183,0.05578011443361027,0.9879227650316456,2.257441300380079,22.57441250281998,0.0,6.083706240110759,0.4055804357498507,6.999858672465559e-06,0.4920640594651628,1.0,max,0.7324205969698495,2.8294987440109254,0.5470287591218949,0.028252542484551668,0.9944592535495758,2.2542174577713014,22.54217395782471,0.0,6.007615494728088,0.4005077227950096,6.999858692324779e-06,screen_c_0p1,0
2,0.0,0.1,0.0,0.7589289046463893,2.821274365050883,0.5266847759485245,0.04033636426718175,0.9912912875791139,2.254253227499467,22.5425318826603,0.0,5.9995735265031644,0.39997159472749205,6.999858672465559e-06,0.4086987640951094,1.0,max,0.743695575577591,2.8342757344245912,0.552287119626999,0.02775732707232237,0.9945080816745758,2.254231297969818,22.54231243133545,0.0,6.000048804283142,0.40000328719615935,6.999858692324779e-06,screen_c_0p1,0
3,0.0,0.1,0.0,0.7548423213286061,2.8288065436520156,0.5345013615074037,0.040156776100232064,0.9913098299050633,2.2541484108454064,22.541483685940126,0.0,6.000092711629747,0.400006209936323,6.999858669587411e-06,0.3387409647734382,1.0,max,0.7431418935923894,2.8301213145256043,0.5489607244729996,0.02704726830124855,0.9944592535495758,2.2541133522987367,22.54113311767578,0.0,5.999731850624085,0.3999821558594704,6.999858692324779e-06,screen_c_0p1,0
4,0.0,0.1,0.0,0.7556758101635878,2.8255686729769165,0.5314430741569663,0.040024261220205054,0.9912851068037974,2.2541013216670556,22.541012751905225,0.0,5.99932011471519,0.39995470473283457,6.999858669587411e-06,0.3181851270433244,1.0,max,0.7425378768812604,2.8324933290481566,0.5502872049808503,0.028108334355056285,0.9944592535495758,2.254097807407379,22.540977478027344,0.0,5.999999976158142,0.40000003278255464,6.999858692324779e-06,screen_c_0p1,0
5,0.0,0.1,0.0,0.7581949368663308,2.818230791936947,0.5240519095825243,0.04008862204095231,0.9913221914556962,2.2540902578378024,22.540902137756348,0.0,6.0,0.40000003576278687,6.999858669587411e-06,0.3405251498709881,1.0,max,0.7326722705994866,2.8313151359558106,0.5488993197679519,0.028330969158560038,0.9943376004695892,2.254084849357605,22.540847969055175,0.0,6.0,0.40000003576278687,6.999858692324779e-06,screen_c_0p1,0
