run_name,seed,max_questions,accuracy_at_max_questions,macro_f1_at_max_questions,mean_transcript_cost,mean_sensitive_queries
baseline,0,15,0.5555,0.5499195907020553,16.5074405670166,1.5544999837875366
baseline,1,15,0.4715,0.46213490917784666,17.03622055053711,1.9084999561309814
baseline,2,15,0.503,0.511550155657485,16.492979049682617,1.0
baseline,3,15,0.4385,0.42788132129817136,16.55582046508789,1.4739999771118164
baseline,4,15,0.472,0.46824678515934,16.86133575439453,1.8070000410079956
uncertainty_cost,0,15,0.561,0.5630919481901419,16.132583618164062,1.3960000276565552
uncertainty_cost,1,15,0.435,0.4211575518608565,16.123943328857422,2.5994999408721924
uncertainty_cost,2,15,0.4595,0.45171956414770176,16.09477996826172,1.3454999923706055
uncertainty_cost,3,15,0.439,0.41354908289361464,16.11960792541504,1.8539999723434448
uncertainty_cost,4,15,0.5055,0.5109867908155216,16.306182861328125,1.9735000133514404
