run_name,cost_budget,seeds,accuracy_mean,accuracy_std,macro_f1_mean,mean_realized_cost,mean_queries,mean_sensitive_queries,cost_exhaustion_rate,accuracy_ci95
baseline,3,5,0.7588117423103897,0.00578003745311038,0.7581919554130436,2.8984408378601074,2.0,1.0,1.0,0.007176864413796535
baseline,6,5,0.7498647430117222,0.007213045033113408,0.7486929918447307,5.460504567113146,3.5510369702434623,1.610189359783589,1.0,0.008956178335039398
baseline,9,5,0.7646428213605851,0.006160729699276941,0.7638752321861464,8.219372597157315,5.168009217513275,1.9194569682396552,1.0,0.007649556270256881
baseline,12,5,0.7713154994489531,0.00541016356879958,0.7710921217439429,11.41406341085882,7.079100290552049,1.9747019336739804,1.0,0.006717605327772032
baseline,15,5,0.7744113816250877,0.00617375089914986,0.7741423246857504,14.62915079367924,9.011141168219618,2.0089169421901616,1.0,0.007665724225352499
uncertainty_cost,3,5,0.6893096884079751,0.0,0.6852973259890226,2.5657238960266113,2.0,2.0,1.0,0.0
uncertainty_cost,6,5,0.761637110509969,0.00013441947565375425,0.7615463674273306,5.442752838134766,4.0,3.0,1.0,0.00016690382357669402
uncertainty_cost,9,5,0.757759743512674,0.005442605671866611,0.7573202417346232,8.492831183296802,6.0,3.0,1.0,0.00675788751917638
uncertainty_cost,12,5,0.7537320909728484,0.005244345786841604,0.7526975599238312,11.549832390453759,8.0,3.0003005710850617,1.0,0.006511715357652811
uncertainty_cost,15,5,0.7546237851918646,0.0063145169196821655,0.753646040568143,14.639654928992238,10.0,4.002444644825168,1.0,0.007840508325217875
